avg,color
-1.3916234744397464,Mariam
-4.0288283780444285,Mariam
-3.93284398117002,Mariam
-2.4213608959392996,Mariam
-3.587059523999362,Mariam
-4.283441658038364,Mariam
-4.31158474401572,Mariam
-2.133447373161157,Mariam
-0.6687522519197324,Mariam
-0.2842759510528841,Mariam
-0.05768805068418601,Mariam
0.16230410925637812,Mariam
-2.207017347745469,Mariam
-1.8498570185910341,Mariam
-0.297033456084623,Mariam
-0.16705804040893543,Mariam
-1.103804469674924,Mariam
0.3540020270234067,Mariam
0.44488188774242393,Mariam
1.348807569092916,Mariam
0.2193190352212997,Mariam
-2.2392110824593283,Mariam
-1.1216619735428126,Mariam
-0.8563997902299226,Mariam
-2.249260442281691,Mariam
-2.3613158204621585,Mariam
-1.9069740242317477,Mariam
-3.041570112792416,Mariam
-5.06441335621399,Mariam
-2.825856023815081,Mariam
-3.432507114954247,Mariam
-5.551560758264683,Mariam
-1.6065570534126863,Mariam
-1.5519805105137117,Mariam
-1.4610632374227706,Mariam
-1.5467411803025188,Mariam
-3.353075482614179,Mariam
-3.5261756981769103,Mariam
-4.940456451658916,Mariam
-3.2338033052791317,Mariam
-3.397601741097149,Mariam
-4.135518225068284,Mariam
-4.29153624276533,Mariam
-5.353841060572345,Mariam
-4.799109990725702,Mariam
-4.907070514866848,Mariam
-1.9536425373951503,Mariam
-6.010472389130596,Mariam
-3.605359218318006,Mariam
0.25494308930116666,Mariam
-4.2399186775394195,Mariam
-1.2727861270606684,Mariam
-4.113604072752748,Mariam
-4.927933457743581,Mariam
-2.9709775722218077,Mariam
-5.0732271640764255,Mariam
-2.6095270973193423,Mariam
-2.6222499976454166,Mariam
-6.448254898416782,Mariam
-4.772478367236639,Mariam
-4.52084791758561,Mariam
-6.543610327256775,Mariam
-3.4823465200083907,Mariam
-3.555126834960556,Mariam
-5.181811556759079,Mariam
-4.084569223288688,Mariam
-4.438974509886923,Mariam
-2.9682515308330055,Mariam
-3.7722802383274647,Mariam
-2.181987227289601,Mariam
-4.138539065252681,Mariam
-3.029145376600085,Mariam
-1.0215950197762491,Mariam
-0.2985520720227045,Mariam
-5.3831750676487315,Mariam
-3.2386006684865514,Mariam
-4.07696943764409,Mariam
-4.686861259082056,Mariam
-4.645496408646971,Mariam
-2.4396621931976563,Mariam
-2.612490190300919,Mariam
-3.527593431446056,Mariam
-2.9473784580508022,Mariam
-4.452760680379002,Mariam
-2.716587161149495,Mariam
-0.7981931330488266,Mariam
-2.42429939738174,Mariam
-1.9367303345444558,Mariam
-8.539030043035973,Mariam
-2.343428454042465,Mariam
-2.782678621789503,Mariam
-3.926624404004862,Mariam
-5.607520801749853,Mariam
-4.324862641280126,Mariam
-6.823749759229363,Mariam
-0.8865191597077129,Mariam
-1.4793881354207215,Mariam
-0.2459577026552196,Mariam
-1.5228344412275958,Mariam
0.15788809009903063,Mariam
-3.432043561141647,Mariam
-2.165428596914492,Mariam
-2.9647667560650506,Mariam
-3.0588146399898304,Mariam
-2.9177016732025676,Mariam
-5.647249784292752,Mariam
-3.752688850632653,Mariam
-3.2339030979788377,Mariam
-4.562920899199108,Mariam
-5.399245538695816,Mariam
-4.128755755077731,Mariam
-6.513425095372904,Mariam
-6.204277220601464,Mariam
-5.5481121738944665,Mariam
-3.7730279332880983,Mariam
-4.657630810832796,Mariam
-2.3073874688343574,Mariam
-1.704145405331671,Mariam
-2.255853607267388,Mariam
-1.8986043119910185,Mariam
-1.807211930189095,Mariam
-1.6152502688595316,Mariam
-2.022228056979724,Mariam
-1.7500813101622508,Mariam
0.35375394822164696,Mariam
-0.07324904726808765,Mariam
-1.82452712404482,Mariam
-2.812037372155761,Mariam
-1.865312803110171,Mariam
-0.48868845421001134,Mariam
1.1511738485877219,Mariam
0.24856107178901077,Mariam
-2.2861200385259175,Mariam
-2.816041742787286,Mariam
-2.243635278951231,Mariam
-1.4195137379080132,Mariam
-0.4687984999907363,Mariam
-1.053851280110186,Mariam
-2.397685962535177,Mariam
-1.670263124998748,Mariam
-1.2844398397859167,Mariam
-2.2585752508812007,Mariam
-0.7763580087831798,Mariam
-4.4244536316312555,Mariam
-2.8276152040487434,Mariam
-1.2575662133273802,Mariam
-0.3302221654587097,Mariam
-0.5446106761009573,Mariam
-0.668195228718889,Mariam
0.03936044821115066,Mariam
0.9081853033791099,Mariam
0.7100153522030551,Mariam
1.2870391148434241,Mariam
1.3051849852344835,Mariam
1.054109307324141,Mariam
0.38972238235019635,Mariam
-1.0294359033107976,Mariam
-2.086799212222624,Mariam
-0.5524207993258897,Mariam
-0.840700183029376,Mariam
0.12224932379981734,Mariam
-2.3707284368221773,Mariam
-1.489706959075474,Mariam
-1.4052501353124847,Mariam
-2.568969260189844,Mariam
-1.7303952708918562,Mariam
-3.1507843234703117,Mariam
-1.5298102828080549,Mariam
-1.6909216518874153,Mariam
-1.5262733221915212,Mariam
-0.45488018895111726,Mariam
-1.3616511252679913,Mariam
-0.7753294253598623,Mariam
-1.2294562783541458,Mariam
-1.5048107073972345,Mariam
-2.2841639354938184,Mariam
-1.5727583555691391,Mariam
-1.629951011478483,Mariam
-1.442782017661583,Mariam
-1.8302600115093988,Mariam
-0.9616031986585458,Mariam
-0.4509397010026592,Mariam
-0.7941840914286626,Mariam
-1.5502219616493933,Mariam
-2.326191514935024,Mariam
-1.8244474210197392,Mariam
-3.4845808724711054,Mariam
-4.201571996274768,Mariam
-2.9396850292899956,Mariam
-0.9562669056732591,Mariam
-1.139699599599431,Mariam
-0.37445449477007975,Mariam
0.3230803290718912,Mariam
-0.9664550092065447,Mariam
-1.0707941335553155,Mariam
-0.765195929912631,Mariam
-1.0566463446972931,Mariam
-1.8890851259765715,Mariam
-1.8463361807974774,Mariam
-2.3749079756890197,Mariam
-2.034386325384168,Mariam
-2.491605873907532,Mariam
-2.056450672772737,Mariam
-2.879209489435691,Mariam
-1.1884943786969953,Mariam
-2.0367773118949524,Mariam
-3.214836029021501,Mariam
-2.331369178136347,Mariam
-1.9324809639136533,Mariam
-0.9486089805551403,Mariam
-1.9374706387184584,Mariam
-2.1475172488814076,Mariam
-1.9975737410043526,Mariam
-0.8827972282167682,Mariam
-1.7976381255808174,Mariam
-0.9759684725060422,Mariam
-3.232661878232777,Mariam
-2.442407951823509,Mariam
-1.6789095397091873,Mariam
-1.6452696435739838,Mariam
-1.1596888617420558,Mariam
-2.4646530081663607,Mariam
-6.776589051432015,Mariam
-4.722561566781939,Mariam
-1.516170526595844,Mariam
-2.4792257630534764,Mariam
-2.563785476027374,Mariam
-2.9044748488431162,Mariam
-3.29484684281372,Mariam
-4.274388114585105,Mariam
-5.082711776006257,Mariam
-3.398756358334282,Mariam
-4.922273404865945,Mariam
-4.102922635508273,Mariam
-2.573386720018254,Mariam
-3.005530516369386,Mariam
-2.8870833645482863,Mariam
-3.4221027972489315,Mariam
-5.222621054828375,Mariam
-7.592703351871935,Mariam
-2.6303631014199835,Mariam
0.025920272069291966,Mariam
0.727898501695788,Mariam
0.9430354788353104,Mariam
1.792572762031448,Mariam
0.8829326279824901,Mariam
0.017154664339177738,Mariam
-0.5768071098366342,Mariam
-2.1173623082128152,Mariam
