chroma_mean,chroma_var,rms_mean,rms_var,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,result
0.4348167,0.09270196,0.07485168,0.008497177,-345.40894,28028.982,110.775505,5367.8022,-3.2945318,139.61432,19.635124,329.22263,2.152603,159.88531,-6.2251434,144.55289,-8.515364,154.331,-2.0222752,81.99715,-1.2317331,149.72127,-4.355553,127.81663,1.6914725,45.187454,-1.3301268,66.830826,-2.934381,51.30114,1.6115537,42.552006,-0.5250415,26.421867,-1.8049588,58.782665,-3.2228758,71.02134,2.4629574,25.087776,-3.329977,31.930058,4.6411023,22.025806,not recognized
0.39725742,0.09779848,0.08248498,0.012128077,-339.0674,19279.041,109.484634,4972.4688,5.0349073,307.59045,12.472975,248.83583,0.99830943,214.08798,-5.672344,259.23242,-6.010849,93.23242,-4.14872,97.0984,-4.3955946,112.84073,-4.096697,130.37581,-1.399254,46.9011,-3.965525,44.521915,-3.713125,56.437187,0.69129586,31.742367,1.079725,20.420938,-1.9098588,28.805714,-2.2228749,48.773273,3.952207,44.817753,-3.2154064,29.5685,0.6087444,16.790096,not recognized
0.3881428,0.09830699,0.07475394,0.008540737,-363.72235,22983.854,101.593506,5782.953,7.622769,361.28683,14.645599,255.21518,0.25940776,237.76852,-6.398248,252.20663,-4.532515,118.673904,-4.579785,75.179016,-4.769316,66.068306,-5.31238,93.73103,-0.70278275,50.61319,-4.3186693,50.009186,-4.6336727,75.96274,1.691688,37.194237,2.152502,27.182415,-1.8846365,25.43725,-3.7558446,48.787136,4.099811,37.036156,-2.9525788,45.369137,1.7222234,18.44739,not recognized
0.43096572,0.09850187,0.06672385,0.006256476,-367.46835,20788.396,115.04447,5171.139,11.270997,417.88116,21.588902,334.58322,3.00156,224.24413,-3.1109803,217.10138,-1.7606714,69.39888,-4.0218077,63.19562,-7.131712,69.89131,-7.0137324,134.94653,-1.236419,56.996403,-2.9386342,54.25319,-2.7642102,51.05508,1.1974636,32.774822,2.8295934,19.23685,0.6090872,17.54785,-4.54021,43.801037,2.6896605,32.807316,-2.0321097,55.18369,0.56060773,16.11208,not recognized
0.44968933,0.10518631,0.07083156,0.009032884,-366.342,17359.918,103.764725,5280.1416,18.557074,419.35175,14.767879,265.41028,2.5757291,265.86926,-3.7831957,297.81372,-1.1418121,47.331623,-2.182359,62.54596,-5.3834267,62.519318,-5.481291,102.34784,-1.1696588,44.90147,-3.1170864,46.650974,-2.6191826,59.315952,0.6425911,44.639153,2.3158665,16.893898,-0.51891226,10.849702,-3.6016018,55.23908,1.8647226,16.216158,-1.2305837,45.491116,1.1308498,18.223682,not recognized
0.4272656,0.09718933,0.057977196,0.005676361,-407.68134,29897.52,88.26656,6555.666,8.232059,275.07654,15.278079,256.41534,-3.88728,287.156,-1.3886627,182.45615,-2.3648722,106.07917,-2.4844656,52.266457,-1.1246548,36.105186,-4.875329,71.33038,-0.62185544,27.294523,-1.3627882,27.803076,-3.531862,59.32074,1.5975021,22.375364,2.4954007,27.37175,-0.8444686,16.307026,-3.3780825,50.604443,1.9712642,20.982038,-1.9928249,53.962353,1.2059753,19.117973,not recognized
0.43206507,0.1022767,0.06252003,0.0067296512,-387.3201,23665.043,93.25857,6392.1816,10.631008,224.55617,14.39993,242.46284,-2.3301647,209.1299,-3.2387218,235.86967,-2.4843972,121.33937,-3.0269396,48.53361,-4.556088,53.577374,-5.4300146,54.024876,-2.1588776,42.382324,-2.8271182,38.276173,-3.1142986,61.266098,1.7044584,27.114622,4.455448,27.516233,0.82278234,21.624006,-3.0624957,53.409325,3.6138053,32.87478,-2.4807508,28.448044,0.19095485,8.689016,not recognized
0.4567131,0.09867009,0.0546554,0.006195191,-422.94342,34668.44,77.1933,6683.904,1.9706509,95.19288,13.440256,322.6443,-1.706889,281.60907,-0.9318457,127.46629,-1.6805013,51.273697,-1.9757608,51.729576,-3.5512857,66.22908,-3.1404314,35.720375,-1.0550877,20.460846,-2.7165778,31.331907,-2.8920043,24.56193,0.6858752,38.984165,3.157331,23.604862,1.3765947,25.03338,-4.1228976,58.77951,2.4003077,17.174673,-4.2237773,34.34538,0.5977359,17.450388,not recognized
0.44303286,0.097631946,0.078206435,0.013687277,-387.53183,25691.713,77.4396,6601.076,6.136047,254.50389,9.481133,138.47455,-2.7502258,219.1384,-6.3738832,289.12308,-4.091837,60.78551,-3.5170126,63.49917,-5.368301,71.15118,-5.862191,98.66129,-2.9822245,50.657867,-3.4187973,33.455765,-5.055554,68.50093,-0.809114,38.468227,2.1457767,23.21447,-0.82899404,12.570152,-3.9983485,65.031,3.6629698,39.113407,-2.509469,27.293446,-0.62399125,10.653099,not recognized
0.44670752,0.090936534,0.068056926,0.009486378,-356.59317,30469.525,80.052925,5158.5884,6.29115,470.80603,17.242062,232.02678,4.5518055,242.34717,5.0093307,163.6324,-3.349186,84.7552,0.16352521,63.883717,-9.34893,114.664246,-1.2652841,54.651306,-7.154109,86.88763,1.993754,55.08126,-1.8727696,90.021996,-0.73278964,60.722454,0.05270775,33.125896,4.998683,43.753494,-2.5449607,74.239265,2.4942625,28.061754,-3.036494,53.355946,1.4979445,44.126034,not recognized
0.44161373,0.09811593,0.04893042,0.0069968137,-405.08954,26899.252,69.81459,5466.211,4.9929643,383.05307,12.69593,275.0885,7.523753,203.67441,2.89974,137.0547,-4.5237327,112.6029,0.06533819,48.99421,-12.884393,224.52167,-1.41553,90.65505,-2.091744,43.865925,-0.070690684,72.51837,-0.54156786,53.24108,-0.25587028,35.05273,-1.7352917,64.9522,3.9866369,79.42072,-3.8528247,44.072258,-1.2382536,16.139532,0.77446556,15.590885,0.3152235,20.498724,not recognized
0.44246447,0.098418534,0.048567202,0.005798155,-411.76163,26873.22,69.84888,5829.841,7.2757835,368.64746,12.350053,222.02757,5.124342,216.09512,0.7392046,164.47028,-2.0762465,95.032234,-0.045051575,37.69243,-10.677045,215.35812,-1.9916679,56.611004,-3.067027,60.33309,0.7720428,53.25682,-0.86216307,56.511505,-0.8743426,43.713406,-2.9238403,30.462744,5.0227933,86.82586,-2.8607683,60.67797,1.4587439,36.448826,1.0597682,19.288868,0.7487421,10.623449,not recognized
0.4668087,0.08785282,0.05528593,0.005847714,-363.99637,26949.273,99.32514,4897.69,3.4700928,443.30365,22.139385,279.69492,8.262858,248.03357,4.1385555,176.20486,-1.0719885,96.90783,-1.2036761,37.89837,-10.344102,112.6211,-2.2830665,76.65936,-2.398686,53.169884,0.49441883,35.14942,-2.12438,66.84186,-1.055733,42.78589,-0.3828028,39.08139,3.7422554,30.890442,-1.7968609,57.455173,1.6208571,49.144566,-2.5208414,15.582338,1.1433454,31.561445,not recognized
0.42353997,0.09589444,0.0689196,0.0063653206,-352.04172,29573.896,103.42202,5276.157,0.299334,514.21155,18.3267,232.0038,7.049056,320.7204,3.762472,246.70993,-1.8543698,98.19865,-2.8461,55.65997,-11.611128,140.34433,-0.1671345,89.38644,-5.4570246,67.85127,0.542227,58.319706,-4.1967773,70.92525,-3.029451,46.91391,-2.7798946,27.167915,4.669458,60.04515,-5.7255816,80.9526,1.6527349,46.621655,-1.0726377,25.802631,-0.27438763,30.511074,not recognized
0.45067534,0.098341316,0.06006157,0.007041557,-389.53928,31370.578,84.61388,6051.8096,4.2881627,294.36465,17.570908,313.88312,5.290226,216.64716,3.4429834,172.41656,-1.6905093,111.37159,-1.7743635,56.07783,-10.522788,196.49414,-1.2303916,50.351776,-3.3186245,120.63295,1.1112984,32.371334,0.16839638,58.0675,1.4328282,45.36818,-2.1822047,27.675829,5.3988533,57.8974,-3.686484,67.27745,0.25214168,11.783576,-1.9690429,20.332087,1.5923834,24.865854,not recognized
0.42546198,0.0908015,0.067258164,0.008422398,-337.4238,31073.727,88.30563,5285.4087,-4.46666,360.14505,22.929968,421.9073,3.7792447,181.38797,-0.118682206,203.81793,-4.230211,158.68677,-1.8773036,60.362305,-14.440516,178.66418,-0.94782364,70.16847,-6.373008,74.97288,0.37731573,27.239983,0.48584685,51.843967,-0.29876223,28.71273,-3.8851812,29.452847,4.975293,55.374825,-4.446486,66.54617,-0.8800371,28.540737,-1.3839875,16.33227,-0.017080417,16.914373,not recognized
