chroma_mean,chroma_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,spectral_rolloff_mean,spectral_rolloff_var,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,result
0.33362055,0.095132716,0.04084649,0.0023977284,2052.7408088971324,525579.9662545482,1871.0000575164067,222105.0118048482,3769.0530711206898,2385099.4295711047,-295.57632,3807.3665,110.98385,1434.5273,-28.768417,996.5766,23.897562,437.07678,-7.467998,285.75317,-6.4250636,226.78786,-6.1016054,246.32013,-13.735804,97.650696,-17.681055,239.18837,5.460186,156.7574,-3.817254,205.50038,-3.5529287,93.90129,0.18759122,68.52474,-4.297705,80.50818,-1.3661292,88.34936,0.7867995,109.071625,-11.42828,75.02279,-0.88320017,39.580692,-10.479553,51.611053,-4.341966,71.09083,Amr
0.38380048,0.090670824,0.025999783,0.001143617,1628.6063694115744,318661.2619936882,1960.5356883388945,107177.37743287296,3056.724811422414,1556158.4926303583,-359.21213,4439.729,126.52366,618.545,3.4707315,288.55002,3.1162882,110.627304,-8.373191,122.951645,-4.1666856,184.95692,-8.287547,188.33867,-9.303939,121.40744,-15.553091,91.83213,-5.179621,109.551956,-1.2975032,108.527336,-5.4540067,42.01219,-6.2117343,56.430553,-0.8370209,98.15938,-1.168589,118.96211,-4.9444866,75.58281,-7.1796427,143.87875,0.045348763,54.61564,-5.1232877,24.37516,-4.3667717,36.14924,Amr
0.36835673,0.098583676,0.03463924,0.002226856,1854.896854705954,696826.1564277478,2042.833293028804,228449.20697219844,3601.366345635776,3323660.2246959764,-369.17023,7168.4663,117.277374,1380.5042,2.2782226,251.73805,11.479974,204.00833,-2.791942,209.01219,0.99349195,322.2134,-9.849685,174.5553,-7.457874,142.3535,-8.486567,82.118195,-8.561767,182.1119,-1.7749585,75.21919,-4.1949005,52.61259,0.8985815,51.95876,1.9066021,133.82004,1.1088213,149.36096,-1.1359257,65.16599,-8.845,117.66375,-0.0112237055,78.25085,-6.6015778,32.01654,-5.366591,43.806274,Amr
0.40123266,0.09280838,0.051446076,0.004928465,1612.5006006886033,578658.0174910992,1899.939030842223,342337.6718333802,3269.210499730604,4207528.2969032535,-360.618,8233.632,133.79456,1643.4211,12.770407,442.46472,-4.0603037,285.24103,-10.434332,129.08405,4.843877,292.42148,-7.086287,212.23929,-7.8120713,119.88508,-9.952168,161.73146,2.2291248,178.28802,-5.8748827,167.723,-4.2996197,81.27541,-6.096221,79.3679,-2.3608098,158.50198,-2.0302472,55.29252,-2.5996494,72.91525,-5.639864,65.97049,0.02563684,89.96906,-5.633664,78.97897,-2.8066192,36.14757,Amr
0.42595002,0.087209694,0.021330643,0.0010969443,1671.4759019328694,381657.018757707,1990.761952729995,185032.749066902,3197.9281721443967,2540906.668109077,-385.16962,5947.9097,129.95578,534.2285,2.854669,153.89409,-7.24522,114.98163,-10.660632,140.5805,2.2321482,227.64137,-3.0891495,145.48326,-7.333821,256.13315,-3.9889312,116.79402,-0.90605426,140.14876,-4.1654563,100.808395,-8.87782,49.688396,-6.816988,55.40994,-1.4086146,90.69231,1.184188,73.80476,-1.320937,59.994728,-4.261891,49.470524,-1.8059438,43.96383,-6.9411874,24.361345,-3.3900855,24.226759,Amr
0.35941628,0.10139114,0.042870827,0.0039865295,1410.760708072788,434578.4421029292,1755.0140424820784,217242.1586264847,2531.2651535560344,2656053.7324039605,-365.09546,6109.855,129.35533,1235.1483,18.612598,425.2399,-4.3095245,348.53323,-5.73715,448.87643,2.1463141,220.33585,-0.062308684,129.0666,-4.1656914,309.54602,-0.22207843,122.21427,-3.8356385,77.59107,-5.717562,178.92197,-9.744979,67.36875,-3.2943184,43.35495,1.1749465,115.789536,3.4494517,80.67141,0.8224817,108.471176,-10.53027,111.63041,-0.24919245,100.648155,-7.4529414,39.812767,-6.2946544,65.43512,Amr
0.37579465,0.09959274,0.029572962,0.0017037308,1963.394023895545,1109702.9292419893,2129.2016979119007,362194.6589196173,3883.5255589978447,5506173.169464051,-373.65463,4928.4165,120.2818,1643.2565,16.67279,427.959,-2.7570257,194.10884,-10.900301,130.93396,9.454857,261.5922,-5.0967813,117.870636,-2.5903199,118.2468,-9.344282,139.06303,-0.55486286,161.04422,-8.173068,203.98312,-2.050287,135.8375,-3.7120605,73.22985,2.812187,76.726265,-0.20271254,100.47427,-3.881199,150.23482,-4.3846602,82.074524,-0.8230554,71.702515,-3.553994,66.66153,-4.601732,59.411797,Amr
0.40304595,0.090440415,0.023820197,0.0008323304,2699.644407376158,1681266.4616560915,2283.2223098501804,277424.7449212478,5066.119174299569,4986345.729238213,-324.96664,11340.136,88.77211,2345.8762,-6.880066,1086.342,10.223798,162.2017,-13.802043,98.384224,10.615836,122.05878,-11.7693815,52.340523,0.50431186,138.96791,-12.040028,97.125984,2.5719905,59.99491,-13.152043,142.3386,0.22760206,100.29337,-6.8229103,110.310646,2.7562125,71.680984,-3.1490774,74.42554,-3.477662,85.80585,-3.4895077,43.634823,-4.414903,49.937325,-7.8584623,35.956013,-2.3369212,36.559586,Amr
0.38096464,0.09569826,0.045966662,0.008001959,2186.7953801981457,950467.8112318084,2191.31850314073,360361.3763929894,4460.219389816811,4011460.055915128,-386.0361,7119.6343,77.49507,2265.1506,12.350338,392.88965,13.432983,158.4732,-2.9670553,227.20447,-7.683781,160.72758,-14.551305,121.412605,-12.982833,150.55402,-11.38118,88.700485,-16.3761,193.9384,-8.192589,152.00069,-4.8250194,78.24013,-3.905744,54.630882,-1.957718,46.37431,-7.465024,91.964714,-2.2341428,65.47881,-1.3507535,26.19467,-2.9505677,38.410892,-1.4395692,34.65455,-1.91063,30.807514,Amr
0.41128936,0.09638351,0.014342499,0.0006656172,1613.3044645991129,281962.9750131411,1804.977523583233,173221.64419205248,3108.7015086206898,1613203.8542121542,-397.32355,3061.009,123.817764,729.8991,-8.989076,232.94606,14.567269,169.05429,2.382525,187.60075,-5.0954185,61.44931,-12.888708,125.83792,-10.297111,95.65003,-7.961247,94.63556,-9.752464,125.52461,-7.5558147,125.22109,-4.6155977,77.25681,-2.6440513,44.454712,-1.2436898,80.237144,-3.0645833,59.44448,-3.0848603,140.64647,-3.8960018,40.756702,-3.398822,91.33691,-6.495854,37.99163,-2.7191653,38.129124,Amr
