x_amr,y_amr,z_amr,x_ibrahim,y_ibrahim,z_ibrahim,x_mariam,y_mariam,z_mariam,x_momen,y_momen,z_momen
-9.409234,-1.184723,-14.327306,0.67955214,0.7661678,-2.9940212,-1.608953,-27.078976,-20.215849,-5.8305635,-14.204626,-11.918548
-2.0768306,-9.808545,-8.311019,-1.3488449,-4.71913,0.25994787,-12.052354,-19.284107,-11.744697,-1.5811472,-13.212079,-9.4875145
-2.3034074,-10.540379,-8.467195,1.7833232,-2.2890632,2.1873574,-0.5852371,-22.85203,-17.334177,1.2968569,-12.213189,-8.185652
3.8746355,-7.199466,-7.277662,-5.161648,-5.7761106,-4.6176934,9.128776,-31.335772,-18.116222,-0.9710052,-7.407705,-4.6127934
1.0028431,-0.5597966,-3.5589745,-2.4881496,0.43135732,-0.16918449,7.917039,-23.470924,-15.76941,-3.0707633,-14.530974,-17.267775
7.8518248,-6.798719,-0.7038166,-4.899992,0.47636786,0.5537629,-0.5518781,-17.118284,-17.746552,1.0072715,-11.227948,-3.4172153
8.9982605,-11.289933,0.10470024,-4.558233,2.1262178,1.6645784,1.2229797,-18.449835,-13.381991,5.7858577,-4.8927712,-7.6480064
-8.054795,-13.0915,-17.559422,2.249204,-4.3850646,7.221335,-0.8133728,-18.8352,-9.5307045,5.248192,-5.012014,2.8708665
-0.624675,-13.085414,-13.836532,-5.0796475,-4.8166537,1.8235667,6.0619297,-21.067766,-8.716215,3.1707938,-12.3169985,6.5458646
-5.5343866,-9.88502,-10.4716625,-1.6862137,-6.9695115,2.273166,-2.0405695,-32.281975,-16.18235,-0.8522625,-8.307957,1.5631012
-8.868896,-13.788382,-11.53538,-0.0975818,-0.6018371,1.1158384,1.1845888,-18.738014,-17.506681,-0.8664132,-6.8536587,1.0247016
-2.7308018,-15.06877,-7.820874,-3.6110258,0.16981544,-3.9312139,-3.3767927,-25.066103,-16.108284,-1.5251213,-6.2556343,-0.22859545
-3.7684424,-13.769087,-13.061384,-0.46574453,0.3199665,-2.2889786,-2.864392,-21.822489,-20.283916,-1.8109167,-7.1481223,4.8782
-2.6570687,-11.829493,-8.737775,2.7438905,-1.0638186,3.6476746,-2.5441234,-18.91881,-18.54748,-1.6504008,-6.0865526,4.5106053
